time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,train/std,train/entropy_loss,train/clip_fraction,train/clip_range,train/n_updates,train/value_loss,train/explained_variance,train/learning_rate,train/loss,train/policy_gradient_loss,train/approx_kl
16384,1,1186.1807791875,1,10533,1000.0,,,,,,,,,,,
32768,2,1205.8140403749999,3,9431,1000.0,0.17811889946460724,3.716119430646175,0.35423778886554624,0.2,1314,0.004753609446166944,0.876823365688324,0.0003,-0.012438751757144928,-0.0060225439281398506,0.031971484
49152,3,1204.4818919375,5,9330,1000.0,0.1781444102525711,3.7279736235097873,0.3554447852760736,0.2,1317,0.003390734119660741,0.8572492599487305,0.0003,-0.002986878389492631,-0.00046351053923414164,0.032839775
65536,4,1208.2933871875,7,9290,1000.0,0.17822079360485077,3.7256563164595233,0.3475207731213873,0.2,1320,0.0039089729826402115,0.8224328756332397,0.0003,-0.007627201732248068,-0.00036645380543232656,0.031314425
81920,5,1211.0963502625,9,9002,1000.0,0.17807798087596893,3.7287608162231898,0.3795321772997033,0.2,1326,0.002348964935091244,0.84028160572052,0.0003,-0.005977734923362732,-0.012196259975892102,0.034818623
98304,6,1213.6725730104165,10,9111,1000.0,0.1779695302248001,3.737812106854448,0.32312353971962615,0.2,1328,0.0031652652134109183,0.8858867287635803,0.0003,-0.010645672678947449,0.005450573743312297,0.027812254
114688,7,1222.31248886,12,9037,1000.0,0.17781658470630646,3.748280883342662,0.3645445478723404,0.2,1332,0.00251362743896452,0.8795391321182251,0.0003,-0.03476160392165184,-0.0045671837988923835,0.033421326
131072,8,1223.1356497600002,14,8996,1000.0,0.17784084379673004,3.752646297367696,0.3626269035532995,0.2,1336,0.002559817082905754,0.8907034397125244,0.0003,-0.026155028492212296,-0.0036940102614367826,0.03821558
147456,9,1226.4199457700001,16,8978,1000.0,0.17743434011936188,3.7697307622432707,0.35357421875,0.2,1340,0.003608847566647455,0.7681955695152283,0.0003,-0.024933747947216034,-0.0023053180216811597,0.037331834
163840,10,1238.7743912399999,18,8875,1000.0,0.1774471253156662,3.779763366281986,0.37388916015625,0.2,1345,0.0025474399742961397,0.7977080345153809,0.0003,-0.021754559129476547,-0.010870819562114775,0.035633653
180224,11,1239.85089072,20,8908,1000.0,0.17735254764556885,3.7877789054598128,0.3530590503246753,0.2,1348,0.0018757874230769548,0.8857261538505554,0.0003,-0.018969237804412842,0.000837647555662053,0.033002265
196608,12,1236.9887770300002,22,8836,1000.0,0.1772947758436203,3.7922936775066236,0.374146412037037,0.2,1353,0.0020561613547788174,0.8833566904067993,0.0003,-0.014691908843815327,-0.009530077302069576,0.036004048
212992,13,1238.9165302899999,23,8918,1000.0,0.17719775438308716,3.798160445690155,0.3138671875,0.2,1354,0.007985831995029002,0.7724908590316772,0.0003,0.03647196665406227,0.011320495046675205,0.024747346
229376,14,1235.8261426600002,25,8888,1000.0,0.17708967626094818,3.811125851225579,0.37483536877394635,0.2,1359,0.0030807441419839743,0.859714150428772,0.0003,-0.021136311814188957,-0.008189294802139147,0.040650297
245760,15,1238.64297923,27,8881,1000.0,0.17687344551086426,3.8207293129434774,0.35043275122549017,0.2,1363,0.0029546660856188587,0.8229076862335205,0.0003,-0.016716081649065018,-0.002209885876771866,0.03906296
262144,16,1232.67637371,29,8862,1000.0,0.1767614334821701,3.8332486189613046,0.3597837936046512,0.2,1368,0.0031298516866888186,0.8526929616928101,0.0003,-0.03572786599397659,-0.007749524900631965,0.04093291
278528,17,1230.86003869,31,8810,1000.0,0.17661643028259277,3.8423345951612857,0.3773704594017094,0.2,1374,0.0031438740003493183,0.8282840251922607,0.0003,-0.027968645095825195,-0.013624163634379917,0.035598483
294912,18,1226.1979486599998,33,8821,1000.0,0.17645366489887238,3.8501620975700583,0.3554054054054054,0.2,1377,0.004058353852077916,0.746890127658844,0.0003,0.006165130063891411,0.0007918404836862071,0.031377982
311296,19,1231.11159812,35,8853,1000.0,0.1765621155500412,3.8536959368249644,0.35102468297101447,0.2,1380,0.004092991417881263,0.8293300271034241,0.0003,-0.01669323444366455,0.001692017864273942,0.036328636
327680,20,1233.94380932,37,8825,1000.0,0.17635364830493927,3.8588175181276307,0.3775111607142857,0.2,1386,0.0028188334078736235,0.7945263385772705,0.0003,-0.043013978749513626,-0.008098349811781128,0.044631578
344064,21,1228.27885941,38,8831,1000.0,0.17636103928089142,3.8682921273367747,0.37422273596938777,0.2,1390,0.005197092239763968,0.8159934282302856,0.0003,-0.010710105299949646,-0.0011225516791455448,0.0397121
360448,22,1230.81357898,40,8821,1000.0,0.17618590593338013,3.876182231377429,0.3692328986220472,0.2,1394,0.0035953483742287777,0.8793801069259644,0.0003,0.023845244199037552,-0.00529671268992302,0.03490645
376832,23,1237.214313,42,8814,1000.0,0.17611463367938995,3.882241448269615,0.36290216244725737,0.2,1398,0.0024116009975811035,0.9116840362548828,0.0003,-0.03794941306114197,-0.007278853940938595,0.034116566
393216,24,1243.6108476099998,44,8830,1000.0,0.17547272145748138,3.905828514578622,0.3473070879888268,0.2,1401,0.002162380573240905,0.8525934219360352,0.0003,-0.004269635304808617,-0.001925261454479821,0.030958587
409600,25,1244.99797622,46,8850,1000.0,0.17528587579727173,3.936077630297738,0.35427989130434784,0.2,1404,0.0024837457158411883,0.860521674156189,0.0003,-0.004364442080259323,0.001109193689450159,0.029871406
425984,26,1248.94684047,48,8858,1000.0,0.1755586713552475,3.9343385338783263,0.38166232638888886,0.2,1407,0.005885101761668921,0.7715396285057068,0.0003,-0.004385795909911394,-0.0010445138918132417,0.03292858
442368,27,1250.63916111,49,8852,1000.0,0.17546223104000092,3.927395883309414,0.3550796812749004,0.2,1411,0.002821014704743022,0.9086458086967468,0.0003,-0.014030351303517818,-0.007165637477653554,0.032349367
458752,28,1256.92049681,51,8854,1000.0,0.17522211372852325,3.941039383146498,0.35491319444444447,0.2,1415,0.002737617814499471,0.8326392769813538,0.0003,-0.020086772739887238,-0.0027114492437491813,0.033647005
475136,29,1256.39357121,53,8823,1000.0,0.1748638153076172,3.9528880983391064,0.3700582005033557,0.2,1420,0.0018983551952675385,0.8480333089828491,0.0003,-0.020191900432109833,-0.009318953133094431,0.034168076
491520,30,1254.06191144,55,8812,1000.0,0.1747198849916458,3.9716445869869657,0.36874159946236557,0.2,1425,0.002616880993579104,0.8744310736656189,0.0003,-0.03045838139951229,-0.00691909378054001,0.03572565
507904,31,1256.87431097,57,8816,1000.0,0.17438966035842896,3.987943493991817,0.36716958142201833,0.2,1429,0.002634487005907598,0.9009361267089844,0.0003,-0.012428970076143742,-0.003590247495561291,0.035412047
524288,32,1246.7119206300001,59,8821,1000.0,0.1745155304670334,3.9986299109582455,0.36145968264248707,0.2,1433,0.004027464381211625,0.7753912210464478,0.0003,-0.02411324344575405,0.0005384054495784131,0.051802523
540672,33,1236.0800916,61,8809,1000.0,0.17456340789794922,3.993851799756188,0.3673058712121212,0.2,1438,0.0062340577689598406,0.7474944591522217,0.0003,-0.015781978145241737,-0.007647373374106256,0.033922408
557056,34,1205.8944313900001,63,8825,994.75,0.17432935535907745,3.9933523880807975,0.34204652255639095,0.2,1441,0.010039418239034432,0.6913326382637024,0.0003,-0.00854733306914568,0.0020595834016295753,0.041759122
573440,35,1183.6919615299998,64,8828,994.75,0.1740787774324417,4.017229575921993,0.3486424814356436,0.2,1445,0.013840624025220623,0.7168154716491699,0.0003,-0.024563537910580635,0.00011315795657510805,0.035473697
589824,36,1167.60433925,66,8816,994.75,0.17418308556079865,4.018198828905922,0.36637205387205385,0.2,1450,0.013281609549466207,0.7506808042526245,0.0003,-0.022875666618347168,-0.009697277011876606,0.033782806
606208,37,1160.40882492,68,8803,994.75,0.17404186725616455,4.019212085248786,0.37169471153846156,0.2,1455,0.008275968791923789,0.7656117081642151,0.0003,-0.03294817730784416,-0.007744337870456251,0.037310705
622592,38,1164.89270308,70,8791,994.75,0.17404092848300934,4.01815739184915,0.3781016403654485,0.2,1460,0.005271504481517991,0.7717705965042114,0.0003,-0.01257719099521637,-0.00811772383486487,0.035037916
638976,39,1177.052877,72,8788,994.75,0.17422835528850555,4.010507092988195,0.37299845041322316,0.2,1464,0.004621286219378456,0.8797540664672852,0.0003,-0.014259915798902512,-0.006744039887639363,0.03463402
655360,40,1191.86247604,74,8785,994.75,0.17418701946735382,4.014415024687803,0.3853775482832618,0.2,1468,0.004308191202021336,0.8301408290863037,0.0003,-0.014833721332252026,-0.004842952953035995,0.036916733
671744,41,1214.03773185,76,8792,1000.0,0.17411333322525024,4.014199736572447,0.35030691964285715,0.2,1471,0.004433855371427767,0.8577890992164612,0.0003,0.010424545034766197,-0.0003697494976222515,0.029940402
688128,42,1231.3952145,78,8783,1000.0,0.17442381381988525,4.010195536966677,0.37569444444444444,0.2,1476,0.0037043336658152165,0.8477665781974792,0.0003,-0.04888555407524109,-0.007419416642989274,0.03686631
704512,43,1223.6281563099997,80,8788,1000.0,0.17443574965000153,3.9986158620743524,0.3684337797619048,0.2,1480,0.005871623160228843,0.7688485383987427,0.0003,-0.02510685846209526,-0.002932395563194794,0.03626191
720896,44,1225.7890771,82,8780,1000.0,0.1743839979171753,3.996388549510116,0.3702793194980695,0.2,1485,0.008260183793251694,0.7408682107925415,0.0003,-0.0237751305103302,-0.0055435423839938,0.04089508
737280,45,1227.38461517,83,8786,1000.0,0.17408478260040283,4.013482325532463,0.36385182584269665,0.2,1488,0.00473149811843766,0.7975099682807922,0.0003,-0.008484403602778912,-0.0006950613820213783,0.033547815
