rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/explained_variance,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/loss,train/n_updates,train/entropy_loss,train/learning_rate,train/value_loss,train/std,train/approx_kl
1000.0,1281.0019060625,1,1,16384,10449,,,,,,,,,,,
1000.0,1287.0315187812498,3,2,32768,9756,0.9227039813995361,0.3367583786231884,0.2,0.00308427847314464,0.003158088307827711,1313,3.717016050781029,0.0003,0.003010418165670843,0.17816245555877686,0.038007613
1000.0,1274.1424718125002,5,3,49152,9482,0.8968124389648438,0.36300823252688175,0.2,0.0005915622685044523,-0.01573554426431656,1316,3.718521547573869,0.0003,0.0029261502310863985,0.17827408015727997,0.03368188
1000.0,1275.498093953125,7,4,65536,8842,0.8086050152778625,0.38454957134955753,0.2,-0.011708185803536655,-0.038398027420043945,1324,3.7049739519051745,0.0003,0.005616268157996073,0.17864151298999786,0.042256575
1000.0,1278.7803471,9,5,81920,8724,0.8282883167266846,0.3756776147959184,0.2,-0.005031382727601445,-0.028682610020041466,1329,3.6890425990227937,0.0003,0.003276858730621788,0.1788482666015625,0.03298445
1000.0,1280.1399417187502,11,6,98304,8769,0.8982994556427002,0.36233618951612906,0.2,-0.002871360742456971,-0.016461849212646484,1332,3.6769434803275654,0.0003,0.0034266792210219527,0.17906881868839264,0.03230142
1000.0,1283.8204656500002,13,7,114688,8762,0.8874959349632263,0.3616456280788177,0.2,-0.00011913775319573033,-0.016184723004698753,1336,3.662268005568406,0.0003,0.003081712417598135,0.1790955513715744,0.036240306
1000.0,1279.7969938199997,14,8,131072,8813,0.9018547534942627,0.3684979838709677,0.2,-0.0012030240268476548,-0.023880857974290848,1339,3.653224048306865,0.0003,0.0032302055530430327,0.17942087352275848,0.03608856
1000.0,1277.46968048,16,9,147456,8831,0.8285053968429565,0.36218584656084657,0.2,0.0018013252324804111,0.027145881205797195,1342,3.6612206905607194,0.0003,0.00392227020439884,0.17897988855838776,0.030823542
1000.0,1280.4818823899998,18,10,163840,8769,0.7348145246505737,0.3782596982758621,0.2,-0.0056614761056121565,-0.017537526786327362,1347,3.6626036479555326,0.0003,0.006654844765455045,0.1794358491897583,0.03662707
1000.0,1273.06733758,20,11,180224,8804,0.851546049118042,0.33672896241830064,0.2,0.0033455277135705248,-0.027887577190995216,1350,3.643204489564584,0.0003,0.003716477342071681,0.1794678419828415,0.029698413
1000.0,1264.2404749399998,22,12,196608,8781,0.8586134314537048,0.36948910788381745,0.2,-0.002711813643775664,-0.005366976372897625,1354,3.6440844575399187,0.0003,0.004013834839988175,0.17942751944065094,0.032298945
1000.0,1258.4743068899998,23,13,212992,8876,0.7642955780029297,0.3107638888888889,0.2,0.013301056117698964,0.020834486931562424,1355,3.6463667021857367,0.0003,0.010375513953881131,0.17929069697856903,0.023759399
1000.0,1247.40691187,25,14,229376,8937,0.8011372089385986,0.314404296875,0.2,0.007832702135783621,0.012767351232469082,1357,3.6517356753349306,0.0003,0.006405649601947516,0.17923004925251007,0.02952434
1000.0,1249.77718879,27,15,245760,8966,0.7688872218132019,0.3547676282051282,0.2,0.007003571615259872,0.0015689616557210684,1359,3.652395403283274,0.0003,0.006291754655221589,0.17938606441020966,0.031341784
1000.0,1250.9286987,29,16,262144,8921,0.8284621238708496,0.36553030303030304,0.2,-0.007209772145319165,-0.026267947629094124,1364,3.6476373271107274,0.0003,0.004499116631049149,0.17934226989746094,0.03378182
1000.0,1259.11917211,31,17,278528,8977,0.8574361801147461,0.3104508196721312,0.2,0.013747109646038687,0.05584981292486191,1365,3.6552765291245257,0.0003,0.004022205019461327,0.17926424741744995,0.023601027
1000.0,1253.87941476,32,18,294912,8978,0.846943736076355,0.3602627840909091,0.2,0.0021576105103701016,0.050979942083358765,1368,3.6463149555704812,0.0003,0.0031951382975834845,0.17940370738506317,0.030305589
1000.0,1264.25546257,34,19,311296,8900,0.8538221716880798,0.35485298645320196,0.2,-0.010888995552834655,-0.03713544085621834,1375,3.641587378943495,0.0003,0.004029152255959515,0.17941777408123016,0.034160793
1000.0,1274.50882565,36,20,327680,8887,0.8456987142562866,0.3528645833333333,0.2,-0.004642645453956599,-0.021296782419085503,1379,3.635900765657425,0.0003,0.0031540622701868417,0.1795668751001358,0.030501468
1000.0,1279.7377915700001,38,21,344064,8868,0.9094434380531311,0.38178868447580644,0.2,-0.00621965397506081,-0.0028476794250309467,1383,3.6415944416676798,0.0003,0.0024801210078763806,0.17950092256069183,0.034997366
1000.0,1275.9396135200002,40,22,360448,8836,0.903696596622467,0.38648388053797467,0.2,-0.007738405576305864,-0.007333557121455669,1388,3.647767600379413,0.0003,0.003200064784599633,0.17936141788959503,0.03663103
1000.0,1279.25751043,42,23,376832,8833,0.9170472621917725,0.3637571383248731,0.2,-0.004134388974995404,-0.0038157152011990547,1392,3.6471369677993852,0.0003,0.00318973860939785,0.1793813556432724,0.036659844
1000.0,1287.7284936400001,44,24,393216,8818,0.8657307624816895,0.3683006800518135,0.2,0.0009830617780165042,-0.00456421310082078,1396,3.6514690935302894,0.0003,0.0025968791710676074,0.1792941689491272,0.04737579
1000.0,1289.33695448,46,25,409600,8783,0.89012610912323,0.3873512961647727,0.2,-0.007908422763152472,-0.03125274181365967,1402,3.664935784583742,0.0003,0.002352806495103075,0.1789664775133133,0.035702467
