time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/value_loss,train/learning_rate,train/entropy_loss,train/loss,train/std,train/approx_kl,train/clip_range,train/n_updates,train/explained_variance,train/clip_fraction,train/policy_gradient_loss
16384,1000.0,1,10375,1,206.681734625,,,,,,,,,,,
32768,1000.0,2,8089,4,205.48871353125003,0.17430355444084852,0.0003,-5.836395166069269,0.04248547554016113,0.3670671284198761,0.017578974,0.2,10,-2.0145294666290283,0.20882568359375,-0.01813605057541281
49152,1000.0,3,7498,6,220.38762677083332,0.059608953376300636,0.0003,-5.791993567347527,0.016080204397439957,0.36591291427612305,0.0180863,0.2,20,-0.29906928539276123,0.21351318359375,-0.01962225986062549
65536,1000.0,4,7263,9,233.8356761875,0.028548644675174727,0.0003,-5.713709688186645,-0.023518111556768417,0.3636212944984436,0.01759227,0.2,30,0.07471370697021484,0.219781494140625,-0.023042371443807497
81920,1000.0,5,7115,11,243.0857211125,0.025243722723098473,0.0003,-5.655660722404718,-0.02451760321855545,0.3622579872608185,0.019775912,0.2,40,0.3350396156311035,0.237127685546875,-0.02464464010190568
98304,1000.0,6,7001,14,243.99864745833335,0.02822574287711177,0.0003,-5.605465549975634,-0.021748637780547142,0.3609781265258789,0.019362029,0.2,50,0.4257619380950928,0.2505615234375,-0.025093263384405873
114688,1000.0,7,6935,16,258.76528862000004,0.05308390287682414,0.0003,-5.529708260297776,-0.009547768160700798,0.35888031125068665,0.01899375,0.2,60,0.29838329553604126,0.233514404296875,-0.023540250190126243
131072,1000.0,8,6893,19,277.302654,0.03202093706349842,0.0003,-5.446102768927813,-0.02303868718445301,0.3567722737789154,0.020629864,0.2,70,0.45216619968414307,0.260943603515625,-0.0267856239406683
147456,1000.0,9,6858,21,297.99132545,0.03115558194986079,0.0003,-5.347680874913931,-0.027543824166059494,0.3542325794696808,0.019678053,0.2,80,0.5269814729690552,0.250054931640625,-0.02664434181751858
163840,1000.0,10,6834,23,317.08780469,0.02741392707976047,0.0003,-5.261711756139993,-0.038333017379045486,0.35210344195365906,0.020946473,0.2,90,0.602688193321228,0.264447021484375,-0.02782088840576762
180224,1000.0,11,6806,26,339.99594723999996,0.024399097540299407,0.0003,-5.163330570608378,-0.018883325159549713,0.34973764419555664,0.021693125,0.2,100,0.6510885953903198,0.27032470703125,-0.02970932745411119
196608,1000.0,12,6791,28,365.38606923,0.029115277447272093,0.0003,-5.108069940656423,-0.03654056787490845,0.34849366545677185,0.021124415,0.2,110,0.6726078987121582,0.268170166015625,-0.029530235323909436
212992,1000.0,13,6774,31,388.48068069,0.0467162876855582,0.0003,-5.06093353703618,-0.008507110178470612,0.34741082787513733,0.021843292,0.2,120,0.6108410954475403,0.273541259765625,-0.02890014669865195
229376,1000.0,14,6752,33,422.40470265000005,0.06945277144550346,0.0003,-5.008196100592613,-0.007239490747451782,0.34590834379196167,0.023745064,0.2,130,0.5192359685897827,0.289459228515625,-0.02811311029508943
245760,1000.0,15,6739,36,462.02429427000004,0.02552613500447478,0.0003,-4.927584141492844,-0.02944912016391754,0.3440325856208801,0.023752011,0.2,140,0.7197651863098145,0.290545654296875,-0.032479873717238664
262144,1000.0,16,6732,38,499.12430652999996,0.030253025563433768,0.0003,-4.836906795948744,-0.03947233408689499,0.34181252121925354,0.025845435,0.2,150,0.7202285528182983,0.305145263671875,-0.03375273137789918
278528,1000.0,17,6721,41,540.90398856,0.027693350295885467,0.0003,-4.767853049188853,-0.023859677836298943,0.3404726982116699,0.023689285,0.2,160,0.779884934425354,0.287908935546875,-0.03176196002605138
294912,1000.0,18,6713,43,592.2233337600001,0.021660481253638862,0.0003,-4.70863014832139,-0.03373245149850845,0.3390602767467499,0.024793874,0.2,170,0.8032547831535339,0.296820068359375,-0.0315681998974469
311296,1000.0,19,6709,46,653.68186984,0.016767304985842203,0.0003,-4.624106293171645,-0.017389627173542976,0.33710145950317383,0.02473728,0.2,180,0.8230555653572083,0.30390625,-0.03310174936341355
327680,1000.0,20,6705,48,704.1370217699998,0.01723493732861243,0.0003,-4.524717576801777,-0.03845802694559097,0.3346540033817291,0.02493123,0.2,190,0.8560685515403748,0.297320556640625,-0.03296923257585149
344064,1000.0,21,6700,51,769.87599277,0.011575258617813233,0.0003,-4.426518934220075,-0.05223330110311508,0.3323074281215668,0.024659008,0.2,200,0.8555619716644287,0.30013427734375,-0.0320761037794
360448,1000.0,22,6693,53,805.5978696,0.0165011739518377,0.0003,-4.358542886376381,-0.04572559893131256,0.33093151450157166,0.02436265,0.2,210,0.8561787009239197,0.294012451171875,-0.029750814167346106
376832,1000.0,23,6689,56,849.55060656,0.013812591461464763,0.0003,-4.256899515539407,-0.037767134606838226,0.3284285366535187,0.024118625,0.2,220,0.8903313875198364,0.2915771484375,-0.029973434661951615
393216,1000.0,24,6685,58,879.57928484,0.006941549861221574,0.0003,-4.162298136204481,-0.0451384112238884,0.32624658942222595,0.025728002,0.2,230,0.9131134748458862,0.298272705078125,-0.02983976938012347
409600,1000.0,25,6683,61,905.9273347799999,0.008054582357726759,0.0003,-4.055689083039761,-0.03370853513479233,0.324115514755249,0.025925739,0.2,240,0.8850414752960205,0.299456787109375,-0.029347209948900853
425984,1000.0,26,6680,63,935.6255575699998,0.007172699779766844,0.0003,-3.9727899830788376,-0.03596896305680275,0.32221999764442444,0.025291845,0.2,250,0.8930249214172363,0.3015625,-0.02954541979415808
442368,1000.0,27,6678,66,967.15855396,0.003247180375183234,0.0003,-3.8780935570597648,-0.037451211363077164,0.3201026916503906,0.025149867,0.2,260,0.9330785870552063,0.295611572265625,-0.0301945743853139
458752,1000.0,28,6675,68,997.6125963899999,0.0028247177573575756,0.0003,-3.775138544291258,-0.04290277883410454,0.31789445877075195,0.026049078,0.2,270,0.9417058229446411,0.3084228515625,-0.029359785574706622
475136,1000.0,29,6673,71,1012.1676701399999,0.0026590088642478803,0.0003,-3.678224354609847,-0.029761657118797302,0.315757691860199,0.024468318,0.2,280,0.921125590801239,0.2944580078125,-0.02682286425115308
491520,1000.0,30,6671,73,1025.8826713800001,0.003145135958402534,0.0003,-3.590064691007137,-0.04903569445014,0.31367674469947815,0.025518965,0.2,290,0.946848452091217,0.296240234375,-0.028136812152297352
507904,1000.0,31,6667,76,1039.1214217999998,0.002312371829066251,0.0003,-3.5115605898201467,-0.053205426782369614,0.31197720766067505,0.026938645,0.2,300,0.9313936829566956,0.300604248046875,-0.027628006646955326
524288,1000.0,32,6664,78,1044.42353262,0.0017282452943618409,0.0003,-3.3951136499643324,-0.019262898713350296,0.3095470070838928,0.0268654,0.2,310,0.9424199461936951,0.305499267578125,-0.027992957324386225
540672,1000.0,33,6660,81,1052.0788731999999,0.0038239971214352408,0.0003,-3.3409913636744024,-0.03457185998558998,0.30852648615837097,0.027541637,0.2,320,0.9084439277648926,0.3174560546875,-0.02596786547001102
557056,1000.0,34,6658,83,1056.6934457399998,0.001957783199941332,0.0003,-3.2589785642921925,-0.02664950117468834,0.30667272210121155,0.027703483,0.2,330,0.9355958700180054,0.32081298828125,-0.02614906536146009
573440,1000.0,35,6657,86,1063.18885787,0.0013505678222827556,0.0003,-3.1868101198226215,-0.035950202494859695,0.3053044378757477,0.025750758,0.2,340,0.9589719176292419,0.29776611328125,-0.026560249163958362
589824,1000.0,36,6656,88,1074.31200465,0.0015327958686611963,0.0003,-3.0857839405536653,-0.041098181158304214,0.3029862940311432,0.028191738,0.2,350,0.9375618696212769,0.317095947265625,-0.0268186702625826
606208,1000.0,37,6654,91,1076.9469892200002,0.0010314471089259314,0.0003,-3.009525990113616,-0.035093795508146286,0.3014683425426483,0.029316174,0.2,360,0.9462950229644775,0.331805419921875,-0.026888252569915495
622592,1000.0,38,6650,93,1084.36386657,0.0024529490490749596,0.0003,-2.93425943441689,-0.04109788313508034,0.3001767098903656,0.027749788,0.2,370,0.9162444472312927,0.317901611328125,-0.027800964073685465
638976,1000.0,39,6648,96,1089.4890508199999,0.0009225592239545221,0.0003,-2.8414307363331317,-0.04706995189189911,0.29801034927368164,0.029540472,0.2,380,0.9538117051124573,0.31923828125,-0.02631391270479071
655360,1000.0,40,6647,98,1095.06948121,0.001388471656900947,0.0003,-2.779697846621275,-0.03397011384367943,0.29730695486068726,0.026299339,0.2,390,0.9506651163101196,0.32127685546875,-0.027084950443531854
671744,1000.0,41,6645,101,1101.60348304,0.0008587944405462622,0.0003,-2.678712900355458,-0.039776526391506195,0.2947987914085388,0.030466279,0.2,400,0.9676023125648499,0.328997802734375,-0.0291549785528332
688128,1000.0,42,6644,103,1103.16279216,0.001640919525470963,0.0003,-2.57936302870512,-0.03241422399878502,0.2931191623210907,0.03048434,0.2,410,0.9490814208984375,0.33321533203125,-0.027040880426648074
704512,1000.0,43,6642,106,1110.59663326,0.0007468170386346173,0.0003,-2.486076533794403,-0.04058974236249924,0.29113611578941345,0.028476607,0.2,420,0.9699534177780151,0.3219970703125,-0.028291243506828323
720896,1000.0,44,6641,108,1109.39290899,0.0010858363610168453,0.0003,-2.4051528595387937,-0.04692922160029411,0.28935176134109497,0.030128056,0.2,430,0.965498685836792,0.325830078125,-0.02784623524566996
737280,1000.0,45,6639,111,1110.2711611099999,0.001356244417547714,0.0003,-2.313437544554472,-0.025402367115020752,0.2877086102962494,0.031482384,0.2,440,0.9619864225387573,0.342327880859375,-0.027571054385771277
753664,1000.0,46,6637,113,1112.8939646400001,0.002872257244780485,0.0003,-2.2440036997199058,-0.027225475758314133,0.2865838408470154,0.030606214,0.2,450,0.9282110929489136,0.3434326171875,-0.026351161857746774
770048,1000.0,47,6637,116,1114.18779627,0.0006817007290010225,0.0003,-2.1544203352183104,-0.031415995210409164,0.28470632433891296,0.030099507,0.2,460,0.9555667638778687,0.333050537109375,-0.027413121456811497
786432,1000.0,48,6635,118,1119.4155305299998,0.0008862050157404155,0.0003,-2.052794424071908,-0.03501761332154274,0.2824406623840332,0.030053463,0.2,470,0.9542750716209412,0.33204345703125,-0.02710280952451285
802816,1000.0,49,6635,120,1115.0016223499997,0.0009321280486801698,0.0003,-1.9268343606963754,-0.038954365998506546,0.2801174819469452,0.02966851,0.2,480,0.9650663733482361,0.329931640625,-0.025943821097826003
