rollout/ep_rew_mean,time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/n_updates,train/loss,train/explained_variance,train/clip_range,train/approx_kl,train/std,train/learning_rate
683.9339278125001,1,10704,1,1000.0,16384,,,,,,,,,,,
686.3009549374999,2,8294,3,1000.0,32768,0.21812779548345135,-0.01527762252408138,-4.996077095717192,0.180828857421875,10,0.0474669486284256,-2.8460421562194824,0.2,0.015303274,0.3666873872280121,0.0003
687.8574283333332,3,7685,6,1000.0,49152,0.040785864625649995,-0.019264690229465486,-4.925765998661518,0.185870361328125,20,-0.010726086795330048,-3.151033878326416,0.2,0.015423834,0.3644172251224518,0.0003
688.533751484375,4,7447,8,1000.0,65536,0.02600294078292791,-0.019010975844139466,-4.833861180394888,0.185833740234375,30,-0.017436623573303223,-1.1042826175689697,0.2,0.01573318,0.3614823818206787,0.0003
689.9502872749999,5,7276,11,1000.0,81920,0.017447745591925922,-0.022852999849783374,-4.703652493655682,0.2078369140625,40,-0.03721066936850548,-1.1353423595428467,0.2,0.016942643,0.35751596093177795,0.0003
691.1317838541667,6,7190,13,1000.0,98304,0.012618298242887249,-0.022364246269353315,-4.568473175168037,0.202349853515625,50,-0.021895814687013626,-0.47371816635131836,0.2,0.016191144,0.35335052013397217,0.0003
693.43985745,7,7107,16,1000.0,114688,0.009007392728381091,-0.02372332633312908,-4.426065447181463,0.208721923828125,60,-0.02904653735458851,-0.24887430667877197,0.2,0.016881224,0.34921157360076904,0.0003
696.5593641,8,7070,18,1000.0,131072,0.006540609492003568,-0.023160525025377864,-4.292434909939766,0.21124267578125,70,-0.039710789918899536,-0.4196525812149048,0.2,0.016454503,0.3453349173069,0.0003
700.1153595999998,9,7008,21,1000.0,147456,0.00516090477904072,-0.02455007286662294,-4.145231957733631,0.2206787109375,80,-0.025037597864866257,-0.11778914928436279,0.2,0.01759519,0.34105467796325684,0.0003
703.7372297799999,10,6973,23,1000.0,163840,0.003780526665650541,-0.024513881739403588,-4.004793025180698,0.222308349609375,90,-0.024652520194649696,-0.017255306243896484,0.2,0.018455494,0.3370981216430664,0.0003
707.57289357,11,6948,25,1000.0,180224,0.003120445260719862,-0.02434177326358622,-3.872530012950301,0.2207763671875,100,-0.03157346695661545,0.14607352018356323,0.2,0.017639346,0.3332531154155731,0.0003
711.6326167800001,12,6936,28,1000.0,196608,0.002668225800152868,-0.02687444042712741,-3.711782397329807,0.250103759765625,110,-0.0394965298473835,0.36260271072387695,0.2,0.019912798,0.32890141010284424,0.0003
