time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/iterations,train/value_loss,train/loss,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/clip_range,train/entropy_loss,train/std,train/explained_variance
11629,1,1000.0,16384,217.92210593750002,1,,,,,,,,,,,
8809,3,1000.0,32768,220.87723840625,2,0.14865301465033554,0.0016873888671398163,0.015926603,10,-0.016885014316358138,0.18841552734375,0.0003,0.2,-4.998168969899416,0.3667968809604645,-2.614348888397217
8172,6,1000.0,49152,223.90885066666667,3,0.029356128624931442,-0.008473794907331467,0.01616985,20,-0.021184929724768153,0.196942138671875,0.0003,0.2,-4.948886671662331,0.3651966154575348,0.041938722133636475
7820,8,1000.0,65536,225.8769746875,4,0.021733101330755743,-0.024516895413398743,0.01663024,30,-0.023554670110024746,0.211553955078125,0.0003,0.2,-4.8928935445845125,0.3632408380508423,0.6319146156311035
7680,10,1000.0,81920,228.16011826249996,5,0.01602543568587862,-0.030397264286875725,0.017951123,40,-0.02455251216961187,0.230120849609375,0.0003,0.2,-4.809800740331411,0.36089420318603516,0.710350751876831
7570,12,1000.0,98304,230.88774814583334,6,0.012725997244706378,-0.02580084651708603,0.01825798,50,-0.025072039272345137,0.2319091796875,0.0003,0.2,-4.736373607069254,0.3584786355495453,0.7753239870071411
7507,15,1000.0,114688,235.61021453999993,7,0.00988394072483061,-0.031112363561987877,0.018849727,60,-0.027772676482709358,0.247247314453125,0.0003,0.2,-4.6394372001290325,0.3556479513645172,0.826757550239563
7456,17,1000.0,131072,241.94953782000005,8,0.00850845446329913,-0.033799439668655396,0.019697769,70,-0.028581139298330525,0.2555419921875,0.0003,0.2,-4.561413065344095,0.35366296768188477,0.8182369470596313
7413,19,1000.0,147456,249.63173009,9,0.007220470836909953,-0.0344502218067646,0.02092572,80,-0.028986530688416678,0.261199951171875,0.0003,0.2,-4.49330061674118,0.3513462543487549,0.8392121195793152
7388,22,1000.0,163840,257.85738895,10,0.005461140532861464,-0.04079598933458328,0.021279424,90,-0.02983259514949168,0.269683837890625,0.0003,0.2,-4.405866628885269,0.34869036078453064,0.8527463674545288
7347,24,1000.0,180224,266.82740149000006,11,0.00541524801919877,-0.03728163614869118,0.021508222,100,-0.029531619161571144,0.265435791015625,0.0003,0.2,-4.318338502943516,0.3460826575756073,0.8598247766494751
7326,26,1000.0,196608,275.51992764000005,12,0.0057928699472540755,-0.0365157313644886,0.024021018,110,-0.028649726159346755,0.287255859375,0.0003,0.2,-4.248708079755306,0.3440532684326172,0.875566840171814
7302,29,1000.0,212992,284.70197072999997,13,0.004646022977613029,-0.03948785364627838,0.022110801,120,-0.028696091151505242,0.273529052734375,0.0003,0.2,-4.152976030856371,0.3414511978626251,0.892479658126831
7289,31,1000.0,229376,294.8275802,14,0.004272561438119738,-0.03803253546357155,0.02173643,130,-0.028162478677768377,0.273553466796875,0.0003,0.2,-4.065910485386849,0.33884334564208984,0.8832448124885559
7271,33,1000.0,245760,303.44933169999996,15,0.0036010934612932034,-0.036842066794633865,0.02284708,140,-0.028168064642159152,0.2749755859375,0.0003,0.2,-3.9841188438236714,0.336822509765625,0.8672678470611572
7261,36,1000.0,262144,311.78215604999997,16,0.0033912515342308324,-0.028271665796637535,0.02519044,150,-0.02945402186960564,0.295770263671875,0.0003,0.2,-3.8929840005934238,0.33417293429374695,0.8880546689033508
7249,38,1000.0,278528,319.67631472,17,0.0037128887362996464,-0.034938327968120575,0.024523035,160,-0.02843343102358631,0.292437744140625,0.0003,0.2,-3.828812161833048,0.33225974440574646,0.8994323015213013
7244,40,1000.0,294912,329.12450430999996,18,0.00265056952375744,-0.044202473014593124,0.024531364,170,-0.029246664324455197,0.293804931640625,0.0003,0.2,-3.719408766180277,0.32936379313468933,0.9088682532310486
7234,43,1000.0,311296,337.66476347,19,0.002615344293008093,-0.03270554170012474,0.025698386,180,-0.030285232142705353,0.300390625,0.0003,0.2,-3.623702620714903,0.3266936242580414,0.918549120426178
