rollout/ep_rew_mean,time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/n_updates,train/loss,train/explained_variance,train/clip_range,train/approx_kl,train/std,train/learning_rate
-112.721491125,1,10887,1,1000.0,16384,,,,,,,,,,,
-102.34655165625,2,8418,3,1000.0,32768,0.16458988345693798,-0.017490343045574265,-4.9873287484049795,0.188787841796875,10,0.03775627911090851,-1.5781137943267822,0.2,0.01594923,0.36646032333374023,0.0003
-89.65030564583333,3,7796,6,1000.0,49152,0.06438428700785152,-0.022190854833024787,-4.897085100412369,0.21004638671875,20,-0.0013490449637174606,0.4389761686325073,0.2,0.017170701,0.3633662760257721,0.0003
-79.59361515625,4,7542,8,1000.0,65536,0.06892231823294423,-0.02576487810420076,-4.817904744297266,0.2292724609375,30,-0.006018640473484993,0.6466166377067566,0.2,0.018491399,0.3610250949859619,0.0003
-68.52272205,5,7385,11,1000.0,81920,0.05918159112916328,-0.02537065315700602,-4.739487037807703,0.224395751953125,40,-0.014737267047166824,0.7122155427932739,0.2,0.018666036,0.35871124267578125,0.0003
-59.35571997916667,6,7281,13,1000.0,98304,0.050293986254837365,-0.025325295639049727,-4.632410316169262,0.222283935546875,50,-0.024494798853993416,0.7775448560714722,0.2,0.0182917,0.35522881150245667,0.0003
-42.4906174,7,7200,15,1000.0,114688,0.040984894966823046,-0.02819987001712434,-4.5032222524285315,0.244677734375,60,-0.01996411755681038,0.829751193523407,0.2,0.019506719,0.35158634185791016,0.0003
-22.763693820000007,8,7129,18,1000.0,131072,0.03275848299381323,-0.026479202059999808,-4.376997355371714,0.227105712890625,70,-0.033223457634449005,0.8393710255622864,0.2,0.018140681,0.34811997413635254,0.0003
-3.2448334700000006,9,7067,20,1000.0,147456,0.02892786226584576,-0.028005051677246227,-4.258245060592889,0.236700439453125,80,-0.03143736347556114,0.8552911281585693,0.2,0.019763384,0.34480300545692444,0.0003
12.50807597,10,7035,23,1000.0,163840,0.020749953025369906,-0.02545330876710068,-4.121566150337458,0.225054931640625,90,-0.03074408508837223,0.8529282808303833,0.2,0.018328087,0.3408444821834564,0.0003
29.582449090000004,11,7007,25,1000.0,180224,0.02026640171679901,-0.027196310187355265,-3.987452970817685,0.243817138671875,100,-0.040548164397478104,0.8710600137710571,0.2,0.020024955,0.3369004726409912,0.0003
43.850937849999994,12,6995,28,1000.0,196608,0.021259566687513144,-0.026641315808228684,-3.85485453158617,0.241229248046875,110,-0.03171773999929428,0.8863912224769592,0.2,0.020440852,0.33324557542800903,0.0003
57.707775389999995,13,6975,30,1000.0,212992,0.01704699253750732,-0.026962996066868073,-3.7094183079898357,0.25252685546875,120,-0.029075708240270615,0.8884691596031189,0.2,0.02153831,0.32943740487098694,0.0003
71.81736273,14,6965,32,1000.0,229376,0.015138081647455693,-0.026189022196194855,-3.5705856531858444,0.24862060546875,130,-0.034993477165699005,0.8927563428878784,0.2,0.020310247,0.3258107602596283,0.0003
85.07070226,15,6949,35,1000.0,245760,0.012052628653327702,-0.02610486253397539,-3.428498784452677,0.25208740234375,140,-0.043589167296886444,0.8658525943756104,0.2,0.021299038,0.3220747709274292,0.0003
97.58497817,16,6942,37,1000.0,262144,0.011212490023899591,-0.02860894481782452,-3.2923249434679747,0.26455078125,150,-0.03792443871498108,0.9205673933029175,0.2,0.021150267,0.3186686038970947,0.0003
106.41920445,17,6933,40,1000.0,278528,0.011650012115569552,-0.02705669480274082,-3.1683141008019446,0.25418701171875,160,-0.023707479238510132,0.9200968146324158,0.2,0.020865675,0.31552785634994507,0.0003
120.66909881999999,18,6927,42,1000.0,294912,0.010149577284028054,-0.026461644902155967,-3.0077831536531447,0.26907958984375,170,-0.03510265052318573,0.8982282876968384,0.2,0.02241479,0.3117200434207916,0.0003
131.72262441,19,6917,44,1000.0,311296,0.008173547009937466,-0.027507687681281822,-2.861900432780385,0.275799560546875,180,-0.03842892125248909,0.9266953468322754,0.2,0.023222942,0.307916522026062,0.0003
139.40808920999999,20,6909,47,1000.0,327680,0.008048455337120685,-0.02806768555601593,-2.7490922074764965,0.27489013671875,190,-0.0308246947824955,0.927978515625,0.2,0.023282258,0.30516326427459717,0.0003
151.49790504000003,21,6905,49,1000.0,344064,0.006589324571541511,-0.028451269196739303,-2.597186603024602,0.27694091796875,200,-0.03731582313776016,0.9438168406486511,0.2,0.02358714,0.30168721079826355,0.0003
160.7165177,22,6900,52,1000.0,360448,0.006889865364064463,-0.028218163266865305,-2.449436304718256,0.2822265625,210,-0.03354417160153389,0.9463937282562256,0.2,0.025036622,0.29806816577911377,0.0003
169.58773383,23,6894,54,1000.0,376832,0.007273157273812103,-0.028606851874792484,-2.3189902801066635,0.283355712890625,220,-0.026904558762907982,0.9428555369377136,0.2,0.024772804,0.29509982466697693,0.0003
178.83823233000004,24,6891,57,1000.0,393216,0.005622197359116399,-0.02739560215122765,-2.1776810064911842,0.288922119140625,230,-0.03317746892571449,0.9364722967147827,0.2,0.02420722,0.2920050323009491,0.0003
186.98449779999999,25,6890,59,1000.0,409600,0.004689523508568527,-0.028574533500795953,-2.0358388155698774,0.296209716796875,240,-0.038588572293519974,0.9380940198898315,0.2,0.025506482,0.2887563705444336,0.0003
196.50618364,26,6885,61,1000.0,425984,0.005048566117329756,-0.026869029949739342,-1.8998766977339983,0.289166259765625,250,-0.027724260464310646,0.9400004148483276,0.2,0.02564194,0.2854239344596863,0.0003
204.36784281,27,6884,64,1000.0,442368,0.0040978702756547134,-0.02638292268893565,-1.7613502576947213,0.28841552734375,260,-0.03700951114296913,0.9484922289848328,0.2,0.024619916,0.2823273837566376,0.0003
215.04145115,28,6881,66,1000.0,458752,0.0033490429588709956,-0.027001785788525013,-1.61053444519639,0.298541259765625,270,-0.05153122544288635,0.9479996562004089,0.2,0.02582838,0.2792761027812958,0.0003
222.81787123,29,6879,69,1000.0,475136,0.0033676743929390795,-0.025853943929541857,-1.471278578042984,0.29248046875,280,-0.03701157867908478,0.9483310580253601,0.2,0.025976133,0.27602580189704895,0.0003
230.13102923,30,6876,71,1000.0,491520,0.0029690147701330718,-0.02642957656280487,-1.3095362639054655,0.304754638671875,290,-0.03508468344807625,0.9583774209022522,0.2,0.02676399,0.2726556062698364,0.0003
237.53389293999996,31,6874,73,1000.0,507904,0.0025144718909359655,-0.02619736388696765,-1.1562485793605446,0.310540771484375,300,-0.03922063857316971,0.9365295171737671,0.2,0.028007964,0.2694898843765259,0.0003
245.70687775999994,32,6870,76,1000.0,524288,0.0024990373984110194,-0.026285525823186617,-0.9952793693169951,0.312249755859375,310,-0.029607146978378296,0.9479829668998718,0.2,0.028796438,0.2660616934299469,0.0003
252.98549251,33,6864,78,1000.0,540672,0.0028225578742421932,-0.02431351618943154,-0.8645788269117475,0.31058349609375,320,-0.024071594700217247,0.9221091270446777,0.2,0.02813957,0.2633173167705536,0.0003
259.49720955,34,6857,81,1000.0,557056,0.0021890143270866247,-0.025921811780062854,-0.7165860747918487,0.31605224609375,330,-0.03776998817920685,0.9498547315597534,0.2,0.027653698,0.2604703903198242,0.0003
265.82956041,35,6856,83,1000.0,573440,0.00218800045295211,-0.02505293213416735,-0.5724230019375682,0.3062255859375,340,-0.022415703162550926,0.9594451189041138,0.2,0.026075654,0.25748327374458313,0.0003
273.56883365,36,6854,86,1000.0,589824,0.0019244672963395714,-0.025922542631815305,-0.43393743098713455,0.32513427734375,350,-0.02597677707672119,0.9526687264442444,0.2,0.029154312,0.2547244131565094,0.0003
281.25345555,37,6852,88,1000.0,606208,0.0018638793011632516,-0.02447418091178406,-0.2834290717728436,0.32642822265625,360,-0.019607987254858017,0.9575216174125671,0.2,0.028089289,0.2518324851989746,0.0003
286.90465498,38,6848,90,1000.0,622592,0.0016211202984777629,-0.023573220100661273,-0.14211760861799122,0.3159912109375,370,-0.03050500527024269,0.96695476770401,0.2,0.027075445,0.2488621473312378,0.0003
