rollout/ep_rew_mean,time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/n_updates,train/loss,train/explained_variance,train/clip_range,train/approx_kl,train/std,train/learning_rate
172.73115875,1,10504,1,1000.0,16384,,,,,,,,,,,
182.2787403125,2,8034,4,1000.0,32768,0.15767286732443608,-0.01668114436142787,-5.000864654779434,0.18656005859375,10,0.013949140906333923,-2.3190646171569824,0.2,0.016048254,0.3669044077396393,0.0003
190.49141518750002,3,7540,6,1000.0,49152,0.03001949287718162,-0.020974170833142125,-4.960912802815438,0.20142822265625,20,-0.0081257876008749,-0.11834859848022461,0.2,0.016206492,0.3656627833843231,0.0003
194.18830789062503,4,7328,8,1000.0,65536,0.022446157988451888,-0.023080236211899318,-4.926934861391783,0.206195068359375,30,-0.026427295058965683,0.550202488899231,0.2,0.016779162,0.36459675431251526,0.0003
194.6164184375,5,7207,11,1000.0,81920,0.01827138837397797,-0.022642431238637073,-4.871424371749162,0.2171875,40,-0.023936161771416664,0.6366234421730042,0.2,0.016938802,0.3627602159976959,0.0003
195.50962077083332,6,7135,13,1000.0,98304,0.024110731955443044,-0.021770618776281482,-4.812397980690003,0.20194091796875,50,-0.016892602667212486,0.6103624105453491,0.2,0.0170637,0.3610963821411133,0.0003
202.38476591999998,7,7068,16,1000.0,114688,0.027551055952790192,-0.023011530112489707,-4.753882116824388,0.21929931640625,60,-0.011045973747968674,0.6145373582839966,0.2,0.017386306,0.35933589935302734,0.0003
206.31281575000006,8,7032,18,1000.0,131072,0.012382247821369674,-0.02652727892200346,-4.70134202465415,0.237579345703125,70,-0.023763351142406464,0.7285058498382568,0.2,0.018743964,0.35760679841041565,0.0003
210.66286366000008,9,6997,21,1000.0,147456,0.025863498335820623,-0.024178489362748225,-4.658616619557142,0.22630615234375,80,-0.01609058491885662,0.6043094396591187,0.2,0.01883388,0.35654017329216003,0.0003
217.99268263,10,6936,23,1000.0,163840,0.014508487645071,-0.02433211134048179,-4.611319301277399,0.23255615234375,90,-0.03650730848312378,0.6550211906433105,0.2,0.018170988,0.35483410954475403,0.0003
225.42620293000007,11,6908,26,1000.0,180224,0.008979785777046344,-0.026672810851596295,-4.538484967499971,0.24632568359375,100,-0.034639403223991394,0.7862058877944946,0.2,0.019025456,0.3527008295059204,0.0003
232.72989437,12,6895,28,1000.0,196608,0.01231700309435837,-0.02805669418448815,-4.480322480946779,0.26256103515625,110,-0.04428432881832123,0.7927897572517395,0.2,0.021485955,0.3511768877506256,0.0003
241.66423101999996,13,6879,30,1000.0,212992,0.017519532561709638,-0.025588590167171788,-4.424680379778147,0.25245361328125,120,-0.025357620790600777,0.7177041172981262,0.2,0.021103999,0.3497742712497711,0.0003
249.35274597999995,14,6858,33,1000.0,229376,0.00603166978507943,-0.028801519297849153,-4.3627539806067945,0.25538330078125,130,-0.04029643535614014,0.8340091705322266,0.2,0.020715665,0.3473294675350189,0.0003
254.81927649000002,15,6847,35,1000.0,245760,0.022319724848784972,-0.024449522171562422,-4.323244499415159,0.260107421875,140,-0.01996203325688839,0.5762478709220886,0.2,0.021081751,0.3467726409435272,0.0003
251.72148668000003,16,6844,38,1000.0,262144,0.013551051118702162,-0.02608870513140573,-4.273129745572805,0.250701904296875,150,-0.0325469896197319,0.7537882328033447,0.2,0.020758769,0.34505701065063477,0.0003
255.99944921999997,17,6796,40,1000.0,278528,0.0372680335334735,-0.02431564547296148,-4.269953387230634,0.234613037109375,160,-0.02051040157675743,0.6300911903381348,0.2,0.019303285,0.3455173671245575,0.0003
263.01457247,18,6795,43,1000.0,294912,0.007584234992827987,-0.028346463584603042,-4.220145492255687,0.25648193359375,170,-0.04357944801449776,0.808995246887207,0.2,0.021025196,0.34363269805908203,0.0003
268.25919761999995,19,6791,45,1000.0,311296,0.0045319079981709365,-0.02964248549178592,-4.15333302617073,0.27271728515625,180,-0.032367460429668427,0.8806924223899841,0.2,0.023336746,0.34181734919548035,0.0003
273.01844161,20,6792,48,1000.0,327680,0.00878311202613986,-0.02891249765671091,-4.103437799960375,0.2649169921875,190,-0.03595343232154846,0.8446534276008606,0.2,0.022012208,0.3401351869106293,0.0003
282.42186303000005,21,6789,50,1000.0,344064,0.00809476971408003,-0.027911353462695843,-4.042458351701498,0.27623291015625,200,-0.034249816089868546,0.8673617243766785,0.2,0.02292537,0.33843258023262024,0.0003
296.68399094999995,22,6790,53,1000.0,360448,0.00737278328742832,-0.03073268625958008,-3.97976799197495,0.27060546875,210,-0.03747261315584183,0.907813310623169,0.2,0.022972621,0.33678165078163147,0.0003
301.86755544999994,23,6786,55,1000.0,376832,0.004969201618587249,-0.031150284286741225,-3.9028604168444874,0.277783203125,220,-0.04607686027884483,0.91745525598526,0.2,0.023833537,0.33442261815071106,0.0003
299.06990870999994,24,6786,57,1000.0,393216,0.005452259871890419,-0.029410052054663537,-3.824064703285694,0.279400634765625,230,-0.04179295152425766,0.8918799161911011,0.2,0.022664294,0.3323234021663666,0.0003
298.7563210299999,25,6786,60,1000.0,409600,0.02288372694165446,-0.024954442416492383,-3.785523841902614,0.264385986328125,240,-0.025089381262660027,0.6323699951171875,0.2,0.022164453,0.33169618248939514,0.0003
296.07383567000005,26,6786,62,1000.0,425984,0.019128321688913274,-0.02533392645564163,-3.761108674108982,0.2575927734375,250,-0.036031581461429596,0.688925564289093,0.2,0.021805512,0.3310236632823944,0.0003
291.54482458,27,6788,65,1000.0,442368,0.02566490829049144,-0.02564571534967399,-3.764686067029834,0.269232177734375,260,-0.026613768190145493,0.6224046945571899,0.2,0.022779074,0.33133766055107117,0.0003
287.733049,28,6788,67,1000.0,458752,0.020946590474341064,-0.02476726559980307,-3.743806464597583,0.25677490234375,270,-0.04349541664123535,0.5566725134849548,0.2,0.022383261,0.33055853843688965,0.0003
286.71902811,29,6790,69,1000.0,475136,0.014095723928767257,-0.02486231078801211,-3.7099178228527308,0.262890625,280,-0.035734109580516815,0.6545794010162354,0.2,0.02171878,0.32952144742012024,0.0003
