rollout/ep_rew_mean,time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/n_updates,train/loss,train/explained_variance,train/clip_range,train/approx_kl,train/std,train/learning_rate
4822.6096059375,1,10885,1,1000.0,16384,,,,,,,,,,,
4843.89530453125,2,8290,3,1000.0,32768,0.2583418574242387,-0.015321625121578109,-5.000060150027275,0.181317138671875,10,0.034521542489528656,-2.152228593826294,0.2,0.015654132,0.3668636083602905,0.0003
4856.6157983125,3,7715,6,1000.0,49152,0.04023839695000788,-0.018949780043112697,-4.958787097036838,0.18248291015625,20,-0.013125469908118248,-2.6204304695129395,0.2,0.015306082,0.36551594734191895,0.0003
4857.423920515625,4,7449,8,1000.0,65536,0.025500619901868048,-0.01874655020692444,-4.906108459085226,0.18018798828125,30,-0.007711490616202354,-0.5004339218139648,0.2,0.015273928,0.36373019218444824,0.0003
4862.0328342249995,5,7290,11,1000.0,81920,0.01706563062252826,-0.022671013689068785,-4.817887041717768,0.2044189453125,40,-0.03255295008420944,-0.36448144912719727,0.2,0.016540006,0.36117956042289734,0.0003
4866.09748265625,6,7191,13,1000.0,98304,0.012243929273972753,-0.021802373532409547,-4.741592533886433,0.1973876953125,50,-0.0281232800334692,0.04206019639968872,0.2,0.015959324,0.3587092459201813,0.0003
4876.03371602,7,7100,16,1000.0,114688,0.008732878579758107,-0.023598597490854446,-4.656086897850036,0.2044189453125,60,-0.031714774668216705,0.26270848512649536,0.2,0.016891953,0.3561623990535736,0.0003
4886.48549982,8,7050,18,1000.0,131072,0.006353556253088755,-0.0229602756233362,-4.579817895591259,0.20068359375,70,-0.03607548400759697,0.14226770401000977,0.2,0.015457284,0.35386887192726135,0.0003
4899.41826652,9,7022,20,1000.0,147456,0.0048398327660834186,-0.023441305798587563,-4.49563382640481,0.211285400390625,80,-0.027316082268953323,0.23731935024261475,0.2,0.017091628,0.35146674513816833,0.0003
4913.15911284,10,6996,23,1000.0,163840,0.0035658442313433623,-0.023763723800948357,-4.431618916988373,0.215118408203125,90,-0.04007691517472267,0.39274460077285767,0.2,0.017227884,0.34963563084602356,0.0003
4928.527045520001,11,6980,25,1000.0,180224,0.0029566569273811183,-0.02408297343135928,-4.381088141351938,0.222943115234375,100,-0.0377437025308609,0.47583144903182983,0.2,0.017921392,0.34822091460227966,0.0003
4939.99791163,12,6953,28,1000.0,196608,0.0024904074980440782,-0.02467391755380959,-4.315877886116505,0.2216796875,110,-0.028652461245656013,0.6559950113296509,0.2,0.018393766,0.3460911214351654,0.0003
4950.23852008,13,6941,30,1000.0,212992,0.0018353511316490767,-0.023552505753468723,-4.263814119249583,0.217230224609375,120,-0.03539518266916275,0.6843376755714417,0.2,0.01755365,0.34494248032569885,0.0003
4962.9838466,14,6926,33,1000.0,229376,0.0017095553043873224,-0.026093813744955695,-4.217258466780185,0.24891357421875,130,-0.0419996939599514,0.6391888856887817,0.2,0.019770438,0.3436259329319,0.0003
4969.38039215,15,6916,35,1000.0,245760,0.0012789515107215267,-0.02501800694662961,-4.160254181176424,0.237420654296875,140,-0.04027809575200081,0.6648218035697937,0.2,0.018943356,0.34208688139915466,0.0003
4973.9216590999995,16,6909,37,1000.0,262144,0.0011908080366083596,-0.022646394942421467,-4.11224377527833,0.230523681640625,150,-0.032767683267593384,0.7129693031311035,0.2,0.018878022,0.34035083651542664,0.0003
4974.9654924199995,17,6900,40,1000.0,278528,0.0012711195418432907,-0.024998707006670885,-4.051794865727425,0.230792236328125,160,-0.03546642139554024,0.8060085773468018,0.2,0.019387065,0.3384678065776825,0.0003
4985.63881995,18,6863,42,1000.0,294912,0.0009234408347765566,-0.025914444041336537,-3.9914250817149877,0.239422607421875,170,-0.03689020499587059,0.7778197526931763,0.2,0.020233288,0.3371758759021759,0.0003
4992.00162759,19,6845,45,1000.0,311296,0.0008310298302603769,-0.025006022697198205,-3.9247833359986544,0.24390869140625,180,-0.0333348847925663,0.7940397262573242,0.2,0.020142121,0.33524930477142334,0.0003
4992.9033228299995,20,6844,47,1000.0,327680,0.0008955401187904499,-0.026421901957291993,-3.8708088021725415,0.254803466796875,190,-0.046420056372880936,0.8586536645889282,0.2,0.020402469,0.3335202634334564,0.0003
4996.135000679999,21,6841,50,1000.0,344064,0.0007368393637079862,-0.025152627060742817,-3.8054195057600735,0.24737548828125,200,-0.02549676038324833,0.823926568031311,0.2,0.02181552,0.3316172659397125,0.0003
5002.65769457,22,6841,52,1000.0,360448,0.000891938343147558,-0.02577823381689086,-3.7315918311476706,0.252813720703125,210,-0.02858390100300312,0.8539298176765442,0.2,0.02175614,0.3296974003314972,0.0003
5006.90767026,23,6839,55,1000.0,376832,0.0008629878070678387,-0.027528210109448992,-3.6603448297828436,0.256903076171875,220,-0.026232043281197548,0.8791431188583374,0.2,0.02245551,0.327728271484375,0.0003
5010.9735478699995,24,6839,57,1000.0,393216,0.0006278446067881305,-0.024940966494978057,-3.5818585764616726,0.2698486328125,230,-0.03404826298356056,0.8623791933059692,0.2,0.023284428,0.32579147815704346,0.0003
5020.68738533,25,6839,59,1000.0,409600,0.000538317921655107,-0.02482280617405195,-3.515063960850239,0.264801025390625,240,-0.041078995913267136,0.8601415157318115,0.2,0.02144136,0.32412493228912354,0.0003
