time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/iterations,train/value_loss,train/loss,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/clip_range,train/entropy_loss,train/std,train/explained_variance
11635,1,1000.0,16384,102.35406818749999,1,,,,,,,,,,,
8709,3,1000.0,32768,107.73342131249998,2,0.18279291682410986,0.02091587334871292,0.0120164305,10,-0.017726656548438767,0.130377197265625,0.0003,0.2,-16.990143153071404,0.9966571927070618,-1.7084598541259766
8086,6,1000.0,49152,114.06005627083334,3,0.045668127422686666,-0.012767383828759193,0.012680873,20,-0.022780005382446688,0.15218505859375,0.0003,0.2,-16.954005336761476,0.9937725067138672,0.42493194341659546
7790,8,1000.0,65536,121.55767078125001,4,0.045449351251591,-0.017018340528011322,0.014134495,30,-0.026773873034107963,0.174432373046875,0.0003,0.2,-16.90054931640625,0.988314151763916,0.6271183490753174
7653,10,1000.0,81920,129.73337139999998,5,0.04299582054372877,-0.0062400661408901215,0.01400975,40,-0.027058380828020746,0.174688720703125,0.0003,0.2,-16.840068319439887,0.9836751818656921,0.6841285824775696
7544,13,1000.0,98304,138.4235364479167,6,0.03540335427096579,-0.021636787801980972,0.0148385,50,-0.029009494485944743,0.190045166015625,0.0003,0.2,-16.765047657489777,0.9769001603126526,0.7245790362358093
7476,15,1000.0,114688,152.23812986,7,0.028058705950388684,-0.03141070529818535,0.014611466,60,-0.030116041138535367,0.19136962890625,0.0003,0.2,-16.681435841321946,0.9701606631278992,0.7692034244537354
7429,17,1000.0,131072,169.57853268,8,0.02525674906792119,-0.024450285360217094,0.014851471,70,-0.030636035514180548,0.193817138671875,0.0003,0.2,-16.598350638151167,0.9640232920646667,0.7729148268699646
7379,19,1000.0,147456,189.81592421000002,9,0.02077707183343591,-0.03311145305633545,0.01587545,80,-0.03180897931451909,0.203021240234375,0.0003,0.2,-16.50770847797394,0.9566207528114319,0.7811541557312012
7353,22,1000.0,163840,208.55925384999998,10,0.016154542013828176,-0.027797603979706764,0.015767964,90,-0.03171282770927064,0.21090087890625,0.0003,0.2,-16.429403522610663,0.9502310752868652,0.7785297632217407
7328,24,1000.0,180224,227.99804607000004,11,0.014253096102038398,-0.02986505627632141,0.015942115,100,-0.03174343773280271,0.2076904296875,0.0003,0.2,-16.335085210204124,0.9425271153450012,0.8226774334907532
7312,26,1000.0,196608,245.38729886,12,0.013479348197870422,-0.04889132082462311,0.017448826,110,-0.03229354835348204,0.219232177734375,0.0003,0.2,-16.221230164170265,0.9339370727539062,0.8379713296890259
7290,29,1000.0,212992,263.06605474,13,0.01079334358801134,-0.03007090650498867,0.016908277,120,-0.03250242331378104,0.21878662109375,0.0003,0.2,-16.11805622279644,0.9261035919189453,0.8425612449645996
7279,31,1000.0,229376,282.19323524,14,0.009204641640098998,-0.03962511569261551,0.01639562,130,-0.032531190876761686,0.209503173828125,0.0003,0.2,-16.02736659348011,0.9186444878578186,0.8496020436286926
7261,33,1000.0,245760,299.37349561,15,0.0070762168201326855,-0.03368740156292915,0.016776629,140,-0.0315441834180092,0.211077880859375,0.0003,0.2,-15.920326296985149,0.9109737873077393,0.8273066878318787
7252,36,1000.0,262144,316.25795185,16,0.006538570816337597,-0.038268692791461945,0.017561443,150,-0.03240747236122843,0.222442626953125,0.0003,0.2,-15.793905641138554,0.9011940360069275,0.8701909780502319
7233,38,1000.0,278528,331.98081678999995,17,0.007016103667410789,-0.03539999574422836,0.017414773,160,-0.031182662180799525,0.214501953125,0.0003,0.2,-15.703292888402938,0.8942068219184875,0.8905649781227112
7227,40,1000.0,294912,350.50309307,18,0.0057906706391804615,-0.045308567583560944,0.018183181,170,-0.03334432298106549,0.232879638671875,0.0003,0.2,-15.582485733926296,0.8862407207489014,0.8885526657104492
7218,43,1000.0,311296,368.05232053,19,0.004538609643714153,-0.03566950559616089,0.019124132,180,-0.03480730676674284,0.24622802734375,0.0003,0.2,-15.476800905168057,0.8787283897399902,0.8971474766731262
